Project Name,Item ARK,Parent ARK,Item Status ID,Item Status,Object Type,File Name,Item Sequence,Duplicate,Delete in Title,Thumbnail,Type.genre,Type.typeOfResource,Rights.copyrightStatus,Subject,Rights.permissionNote,Name.repository,Name.copyrightHolder,Rights.permission,Language,Name.donor,viewingHint,Text direction,Visibility,IIIF Range,Title.uniform,Title,Date.normalized,Alt ID.local,Format.extent,Relation.isPartOf,Date.creation,Alt ID.collection,Opac url,Bucketeer State,IIIF Access URL
La Gente de Aztlan Collection,ark:/21198/z1030hkr,ark:/21198/zz002c3pjx,,,Page,lagen/image/21198-zz002c3pjx_2083011_master.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1030hkr
La Gente de Aztlan Collection,ark:/21198/z105970x,ark:/21198/zz0025jrvw,,,Page,lagen/image/21198-zz0025jrvw_2040121_master.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz105970x
La Gente de Aztlan Collection,ark:/21198/z10g5b6f,ark:/21198/zz002cn38r,,,Page,lagen/image/21198-zz002cn38r_2096098_master.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10g5b6f
La Gente de Aztlan Collection,ark:/21198/z10k41pn,ark:/21198/zz002ckx7x,,,Page,lagen/image/21198-zz002ckx7x_2093374_master.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10k41pn
La Gente de Aztlan Collection,ark:/21198/z10s1ffd,ark:/21198/zz002cjs0x,,,Page,lagen/image/21198-zz002cjs0x_2091475_master.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10s1ffd
La Gente de Aztlan Collection,ark:/21198/z10w04w5,ark:/21198/zz002c3xg8,,,Page,lagen/image/21198-zz002c3xg8_2089412_master.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz10w04w5
La Gente de Aztlan Collection,ark:/21198/z1127jp4,ark:/21198/zz002c3n5r,,,Page,lagen/image/21198-zz002c3n5r_2077065_master.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz1127jp4
La Gente de Aztlan Collection,ark:/21198/z11g2cbt,ark:/21198/zz002cmw1s,,,Page,lagen/image/21198-zz002cmw1s_2094848_master.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11g2cbt
La Gente de Aztlan Collection,ark:/21198/z11k12vg,ark:/21198/zz002ckk52,,,Page,lagen/image/21198-zz002ckk52_2093377_master.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11k12vg
La Gente de Aztlan Collection,ark:/21198/z11r8gmp,ark:/21198/zz002cjk9p,,,Page,lagen/image/21198-zz002cjk9p_2090723_master.tif,1,,,,,,,,,,,,,,,,,,,Page 1,,,,,,,,succeeded,https://iiif.library.ucla.edu/iiif/2/ark%3A%2F21198%2Fz11r8gmp
