Parent ARK,Item ARK,File Name,Object Type,Title,Item Sequence
ark:/21198/z199013j,ark:/21198/z1ww9dnt,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0037_0020.tif,Page,Page 20,20
ark:/21198/z199013j,ark:/21198/z1s48p0q,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0037_0021.tif,Page,Page 21,21
ark:/21198/z199013j,ark:/21198/z1nc7x7j,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0037_0022.tif,Page,Page 22,22
ark:/21198/z199013j,ark:/21198/z1hm75dv,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0037_0023.tif,Page,Page 23,23
ark:/21198/z199013j,ark:/21198/z1cv6dnp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0037_0024.tif,Page,Page 24,24
ark:/21198/z199013j,ark:/21198/z1835nzq,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0037_0025.tif,Page,Page 25,25
ark:/21198/z199013j,ark:/21198/z14b4x99,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0037_0026.tif,Page,Page 26,26
ark:/21198/z15h98c8,ark:/21198/z10p2w09,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0038_0001.tif,Page,Page 1,1
ark:/21198/z15h98c8,ark:/21198/z1vx2ckw,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0038_0002.tif,Page,Page 2,2
ark:/21198/z15h98c8,ark:/21198/z1r51msk,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0038_0003.tif,Page,Page 3,3
ark:/21198/z15h98c8,ark:/21198/z1md0w0c,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0038_0004.tif,Page,Page 4,4
ark:/21198/z15h98c8,ark:/21198/z1gn047k,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0038_0005.tif,Page,Page 5,5
ark:/21198/z15h98c8,ark:/21198/z1bv9ck6,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0038_0006.tif,Page,Page 6,6
ark:/21198/z15h98c8,ark:/21198/z1738mxp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0038_0007.tif,Page,Page 7,7
ark:/21198/z15h98c8,ark:/21198/z13f6kmp,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0038_0008.tif,Page,Page 8,8
ark:/21198/z15h98c8,ark:/21198/z1zp634s,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0038_0009.tif,Page,Page 9,9
ark:/21198/z15h98c8,ark:/21198/z1tx5bd2,Masters/othermasters/MEAPmigration/barbadosephemera/images/barb_eph_ghi0038_0010.tif,Page,Page 10,10
